Tiêu đề,Số phòng ,Vị trí,Giá ,Giá / Diện tích,Diện tích,Loại hình
"‼️ THÁI HÀ KHU PHÂN LÔ, NHỈNH 4 ĐỒNG⭐️",3,Quận Đống Đa,"4,39 ",231,19,nhà ở
‼️CĂN HỘ 103M2 MỸ ĐÌNH PLAZA 2 - SẴN NỘI THẤT - GIÁ👉  NHỈNH 7 ,3,Quận Nam Từ Liêm,7,68,103,chung cư / căn hộ
"""Bán nhà phố Hoàng Mai, Hoàng Văn Thụ, 32m, 5 tầng. Giá: 6.5 ",3,Quận Hoàng Mai,"6,5 ",203,32,nhà ở
"# HOÀNG MAI #  THIÊN - 36M x 4tầng x 4,5M mặt tiền - Giá 5,75 ",5,Quận Hoàng Mai,"5,9 ",164,36,nhà ở
#THANH LÝ CĂN HỘ 1-2P NGỦ TRẦN CUNG - CÔNG VIÊN HÒA BÌNH - SỔ RIÊNG,2,Quận Bắc Từ Liêm,"1,15 ",18,65,chung cư / căn hộ
#THANH XUÂN# QUAN NHÂN# HÀ NỘI - 46M x 5TẦNG x 4M MẶT TIỀN - 3 THOÁNG,5,Quận Thanh Xuân,"9,9 ",215,46,nhà ở
"* Giá  3 ,45.Chung cư nguyễn chánh Cầu Giấy. * Diện tích 44m2.",1,Quận Cầu  Giấy,"3,45 ",78,44,chung cư / căn hộ
"*** Bìa Làng Cổ Loa, 46m, Giá Chỉ hơn 3 ",2,Huyện Đông Anh,"3,6 ",78,46,nhà ở
"[BÁN BĐS] NHÀ ĐẤT KHU TỨ LIÊN DT 50.6 M2, MT hơn 4M, giá hợp lý !",3,Quận Tây Hồ,"7,3 ",144,51,nhà ở
[CHÍNH CHỦ BÁN NHÀ] NGÕ 190 HOÀNG MAI - VỊ TRÍ ĐẸP - HIẾM - GIÁ TỐT,6,Quận Hoàng Mai,"6,5 ",186,35,nhà ở
"[Chính chủ] Bán nhà mặt phố VIP - 15/176 Nguyễn Sơn, Long Biên, Hà Nội",5,Quận Long Biên,"19,999",227,88,nhà ở
"[Lạc Long Quân - Tây Hồ] Bán nhà , 5p ra hồ Tây hóng gió",6,Quận Tây Hồ,"8,75 ",192,46,nhà ở
"_ CĂN HỘ FUN NỘI THẤT  THOÁNG PHÙ HỢP  VKCK  TRẺ  GIÁ 1,35  .",2,Quận Thanh Xuân,"1,35 ",39,35,chung cư / căn hộ
"♥️Hiếm,Bán nhà Phân Lô Ôtô, Vỉa hè Khuất Duy Tiến 53/58m, chỉ  19.5 ",4,Quận Thanh Xuân,"19,5 ",336,58,nhà ở
♦️ MUA ĐẤT TẶNG NHÀ NẰM NGAY TẠI CỔNG LỤC QUÂN - SƠN TÂY- HÀ NỘI,3,Thị Xã Sơn Tây,"1,35 ","7,5",179,nhà ở
"✈️✈️Bán Nhà 2 tầng Vân Nội 🌸 Ngõ thông, đường rộng 🌸 Ô Tô đỗ cửa 🌸",2,Huyện Đông Anh,"3,75 ",71,53,nhà ở
"✍️ HIẾM ĐƯỜNG BƯỞI MẶT PHỐ BA ĐÌNH NHÀ 2MẶT TIỀN ,GIÁ BÁN ĐẤT",3,Quận Ba Đình,22,237,93,nhà ở
