Tiêu đề,Số phòng ,Vị trí,Giá ,Giá / Diện tích,Diện tích,Loại hình
‼️[QUẬN 1]MẶT TIỀN KHU LAN QUẾ PHƯỜNG - 117M2 5 TẦNG - NGANG HƠN 5M,6,Quận Nhất,"82,5 ",705,117,nhà ở
( Nhà Ngộp ) Bình Chánh 310triệu 5x12 SHR đường An Hạ xã Phạm Văn Hai,2,Huyện Bình Chánh,"0,31",31,10,nhà ở
(GẤP)Bán Hà Đô Centrosa căn 1-2-3 CÓ SỔ -View City -Công chứng ngay,2,Quận Mười,"9,999",93,108,chung cư / căn hộ
"(HIẾM) BÁN NHÀ 1 SẸC GẦN CHỢ NGUYỄN CHẾ NGHĨA QUẬN 8, 5 TẦNG MỚI XÂY",5,Quận Tám,"5,3 ",118,45,nhà ở
"(Hot) bán nhà hẻm 8m Thân Nhân Trung ngay nhà ga T3 5x22 2 lầu 13,2 ",3,Quận Tân Bình,"13,2 ",120,110,nhà ở
(Kẹt tiền bán gấp) Căn hộ Rivana 2 - 74m2,2,Quận Mười Hai,"2,15 ",29,74,chung cư / căn hộ
(QUÁ HIẾM TRONG TẦM GIÁ 3 ) NHÀ ĐẸP PHÚ NHUẬN- 20m2- 3 TẦNG- 2 3WC,2,Quận Phú Nhuận,"3,45 ",173,20,nhà ở
"***Bán nhà khu K300 Tân Bình, hxh đường Lê Trung Nghĩa (4*20) 4 tầng",5,Quận Tân Bình,"12,79 ",158,81,nhà ở
"**Bán nhà hẻm Nguyễn Trọng Tuyển * phường 2, Tân Bình, 4 x 16",2,Quận Tân Bình,"7,318",118,62,nhà ở
"**Bán nhà MT Ba Vân, phường 14, Tân Bình - 4x18 - 13,818 ",7,Quận Tân Bình,"13,818",197,70,nhà ở
"*Bán nhà phường 7 Tân Bình* hẻm 1A Lý Thường Kiệt, gần ngã tư Bảy Hiền",2,Quận Tân Bình,9,75,120,nhà ở
